"target","t2.stat","p.value","p.value.bh","n.cells","significance"
"308950",22.7278590719796,0.303410657788462,0.664364716191978,175,"Non-significant"
"GRA3",62.350557673255,3.1876547741394e-06,4.26139111911268e-05,1226,"Significant"
"244250",20.2736145853792,0.442018158285202,0.737954720435355,66,"Non-significant"
"ROP19A",13.7686002556724,0.84252150946082,0.951113170680214,167,"Non-significant"
"MYR1",807.922560929776,0,0,204,"Control effector"
"GRA11B",19.4004223498325,0.497007333449329,0.798986472760314,259,"Non-significant"
"ROP30",26.4360430122777,0.15270475457397,0.502884887697184,158,"Non-significant"
"236860",24.7784963978073,0.210979741350501,0.576224239817498,36,"Non-significant"
"Toxofilin",15.2073059269469,0.765096963329636,0.91667277681947,44,"Non-significant"
"PP2CHN",25.6579558920688,0.178285876885358,0.532760149751541,47,"Non-significant"
"RON12",19.0490622914295,0.519677730720353,0.819864245981178,139,"Non-significant"
"ROP39",12.4805846822111,0.898878273591774,0.963354774229158,274,"Non-significant"
"ROP40",29.0180354232092,0.0880067210650674,0.364082605574147,90,"Non-significant"
"EFPP",26.3805292260513,0.154429217481812,0.502884887697184,31,"Non-significant"
"ROP20",28.7178071848596,0.0940926919489902,0.372937488244239,136,"Non-significant"
"GRA21",32.1273408533379,0.0423347515039671,0.233761453956688,232,"Non-significant"
"268760",15.2897114213848,0.760279279978629,0.915217711443468,263,"Non-significant"
"NTPaseII",23.8622259708372,0.249463724966949,0.620728540436214,620,"Non-significant"
"ROP6",29.0114247308585,0.0881370592944031,0.364082605574147,121,"Non-significant"
"294630",13.9413808735784,0.833966909575804,0.947240283519204,11,"Non-significant"
"248510",16.0156701045546,0.716421765034631,0.89640949910737,105,"Non-significant"
"217530",28.6537136199246,0.0954367588026597,0.372937488244239,192,"Non-significant"
"GRA34",23.789980396905,0.252692303197282,0.620728540436214,145,"Non-significant"
"WIP",17.4926224258857,0.621718585187464,0.867673190316571,81,"Non-significant"
"ROP8",22.7870595025342,0.30042532931997,0.664364716191978,533,"Non-significant"
