"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","target","p_val_bh"
"240","TGME49-269950",0.0231094120581717,-0.0856979537292721,0.777,0.838,1,"MYR1",0.623867868465141
"241","TGME49-293710",0.0231822749217931,-0.0747617583678807,0.33,0.445,1,"MYR1",0.623867868465141
"242","TGME49-306680",0.0232052295733395,-0.051834661774839,0.07,0.127,1,"MYR1",0.623867868465141
"243","TGME49-215730",0.0232283812564607,-0.0861790916535369,0.53,0.651,1,"MYR1",0.623867868465141
"244","TGME49-232830",0.0232864861412719,-0.0920501577749042,0.518,0.629,1,"MYR1",0.623867868465141
"245","TGME49-253520",0.0236898756305229,-0.0593280121053283,0.082,0.14,1,"MYR1",0.624336553018495
"246","TGME49-293900",0.0237309855346772,-0.0870316899859772,0.144,0.218,1,"MYR1",0.624336553018495
"247","TGME49-257050",0.0238399166003933,-0.0645794431548305,0.11,0.175,1,"MYR1",0.624336553018495
"248","TGME49-271335",0.0238749543557298,-0.0631876814058519,0.161,0.24,1,"MYR1",0.624336553018495
"249","TGME49-294740",0.0240325522192268,-0.0711251627576761,0.161,0.236,1,"MYR1",0.624336553018495
"250","TGME49-248390",0.0240563358061813,0.0160777612999912,1,1,1,"MYR1",0.624336553018495
"251","TGME49-298990",0.0240680451829066,-0.0445257239659284,0.045,0.092,1,"MYR1",0.624336553018495
"252","TGME49-240300",0.0240680451829066,-0.0445257239659284,0.045,0.092,1,"MYR1",0.624336553018495
"253","TGME49-261022",0.0242784881047683,-0.083972503141249,0.38,0.472,1,"MYR1",0.627306232177353
"254","TGME49-211270",0.0247439692427133,-0.0448885099123295,0.051,0.1,1,"MYR1",0.634981548634957
"255","TGME49-218070",0.0247930124174748,-0.0699416360609574,0.245,0.341,1,"MYR1",0.634981548634957
"256","TGME49-305450",0.0248669537173855,-0.0830437259988918,0.414,0.528,1,"MYR1",0.634981548634957
"257","TGME49-233820",0.0250496106355566,0.046007658709145,0.087,0.039,1,"MYR1",0.635428930949907
"258","TGME49-290660",0.0250788839200055,-0.0762829430381056,0.932,0.969,1,"MYR1",0.635428930949907
