target,gene.set,mean.score,mean.score.z,auc,p.value,p.value.bh
225150,PID_LIS1_PATHWAY,1.36796487,1.361655991,0.548677947,0.094095173,0.659765005
225150,PID_LKB1_PATHWAY,0.89496597,0.423982208,0.505462542,0.850981307,0.984435803
225150,PID_LPA4_PATHWAY,0.286065089,0.668736665,0.531767856,0.274574283,0.83073008
225150,PID_LYMPH_ANGIOGENESIS_PATHWAY,1.476000336,0.215184245,0.517299868,0.551850568,0.927769725
225150,PID_LYSOPHOSPHOLIPID_PATHWAY,0.714231808,0.236592054,0.506359071,0.826883008,0.980330443
225150,PID_MAPK_TRK_PATHWAY,0.657236125,0.225964107,0.497557024,0.933045196,0.993712306
225150,PID_MET_PATHWAY,0.954478349,0.450208901,0.511065193,0.703530272,0.958409256
225150,PID_MTOR_4PATHWAY,1.129829492,0.710282324,0.515240557,0.600165026,0.937177037
225150,PID_MYC_ACTIV_PATHWAY,1.299053824,0.278554167,0.505159188,0.859168114,0.985082026
225150,PID_MYC_PATHWAY,0.662327939,-0.734099792,0.470022583,0.302536042,0.843677818
225150,PID_MYC_REPRESS_PATHWAY,1.175316369,0.964853892,0.531218764,0.282955346,0.833811235
225150,PID_NCADHERIN_PATHWAY,1.282046922,1.257465878,0.548902298,0.09258893,0.656667077
225150,PID_NECTIN_PATHWAY,1.259921581,0.36517789,0.517752497,0.541493076,0.92680284
225150,PID_NEPHRIN_NEPH1_PATHWAY,0.713592151,0.027690016,0.498564419,0.960627103,0.996710461
225150,PID_NETRIN_PATHWAY,1.194478089,0.36549233,0.512609895,0.664516144,0.950658676
225150,PID_NFAT_3PATHWAY,1.240479771,1.643824026,0.562126755,0.032620192,0.47532998
225150,PID_NFAT_TFPATHWAY,0.740777382,0.780155439,0.521624507,0.457041442,0.905430623
225150,PID_NFKAPPAB_ATYPICAL_PATHWAY,0.814773706,-1.40043733,0.436954892,0.030134942,0.463053975
225150,PID_NFKAPPAB_CANONICAL_PATHWAY,1.230514808,-0.65272226,0.463749936,0.21249054,0.792081857
225150,PID_NOTCH_PATHWAY,0.981863365,1.322855278,0.551363169,0.077306381,0.63174461
225150,PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY,0.666630862,-0.07324923,0.490753617,0.750481366,0.967722148
225150,PID_P38_ALPHA_BETA_PATHWAY,0.617283697,-0.944818129,0.460186516,0.170904428,0.760001678
225150,PID_P38_GAMMA_DELTA_PATHWAY,0.687370613,-0.105613976,0.489972318,0.730187579,0.963359825
225150,PID_P38_MK2_PATHWAY,1.485863257,0.718679103,0.522117293,0.44685074,0.902236108
225150,PID_P38_MKK3_6PATHWAY,0.682062312,-1.332295224,0.452306314,0.100936896,0.672181481
225150,PID_P53_DOWNSTREAM_PATHWAY,0.733647306,-0.03332377,0.485466103,0.617174409,0.940489275
225150,PID_P53_REGULATION_PATHWAY,1.000156848,0.952088297,0.528586356,0.325525133,0.852203744
225150,PID_P73PATHWAY,0.77661371,-0.236739629,0.488511421,0.692753688,0.956756316
225150,PID_P75_NTR_PATHWAY,0.812227613,-0.162434987,0.497136694,0.921558619,0.992955402
225150,PID_PDGFRA_PATHWAY,1.028938077,-0.268197288,0.487135638,0.658172,0.949246358
225150,PID_PDGFRB_PATHWAY,1.176592122,0.221720419,0.501309875,0.964072856,0.996710461
225150,PID_PI3KCI_AKT_PATHWAY,1.450086062,0.873282035,0.536810941,0.205499983,0.785964251
225150,PID_PI3KCI_PATHWAY,1.001480447,0.029167794,0.507017718,0.809280826,0.977859007
225150,PID_PI3K_PLC_TRK_PATHWAY,1.068683838,1.590310478,0.545609932,0.116726811,0.697497088
225150,PID_PLK1_PATHWAY,0.651525113,0.561530445,0.503360456,0.907994008,0.992246283
225150,PID_PRL_SIGNALING_EVENTS_PATHWAY,1.594621818,0.201904993,0.504273135,0.883164341,0.989598472
225150,PID_PS1_PATHWAY,0.800093032,-0.080408623,0.497633844,0.935146088,0.99401689
