"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh","Naor_2018_significant_genes_avg_log2FC"
"MYR1","AC013652.1",1.64861236385606,0.941,0.594,1.62548980974229e-46,2.47112253169426e-44,NA
"MYR1","DSTN",0.704393550135941,1,1,2.37541984947882e-46,3.5834122052407e-44,NA
"MYR1","CENPX",-1.12075790760458,0.651,0.948,2.90741362590217e-46,4.35246477996699e-44,NA
"MYR1","PTMAP5",-0.939360121718322,0.118,0.681,3.20533677454326e-46,4.76211056708848e-44,NA
"MYR1","TUBB",-0.829496785420006,1,1,3.31798141246595e-46,4.87039623749615e-44,NA
"MYR1","SRSF2",-1.07871784463587,0.901,1,3.3278929979322e-46,4.87039623749615e-44,-1.01191366673602
"MYR1","FAM107B",-1.28779175535981,0.538,0.913,3.65961728948391e-46,5.31620404919029e-44,NA
"MYR1","KPNB1",-0.997249825475579,0.842,0.983,8.75616767704452e-46,1.26262650231265e-43,-1.15618445284478
"MYR1","LGI2",-0.931032265758036,0.011,0.498,9.62424954657136e-46,1.37767268509351e-43,-3.23703919730085
"MYR1","PSIP1",-1.04660695927955,0.865,0.991,1.22256646250852e-45,1.73737325335179e-43,NA
"MYR1","NME1",-0.783522758250904,0.992,1,1.76078459337477e-45,2.48422637846566e-43,NA
"MYR1","RELB",-1.1298615874515,0.344,0.852,2.14853796044692e-45,3.00964128159462e-43,NA
"MYR1","BRI3",0.789761574387947,1,1,2.4297290631588e-45,3.37939125231257e-43,NA
"MYR1","PDE4D",-1.90972233410945,0.169,0.699,2.99682573959859e-45,4.13878518163859e-43,NA
"MYR1","IL34",-0.967363054032858,0.118,0.681,3.02896754327813e-45,4.15392185253338e-43,NA
"MYR1","SLC1A2",-1.06687425044088,0.042,0.546,5.23816221431172e-45,7.13372216561577e-43,NA
"MYR1","CBX3",-0.750084963072859,0.997,1,6.76156283873187e-45,9.14489716071523e-43,NA
"MYR1","MRPL17",-0.902388211424232,0.946,1,7.57523072325622e-45,1.01751951858752e-42,-0.641199703374015
"MYR1","MRPL17",-0.902388211424232,0.946,1,7.57523072325622e-45,1.01751951858752e-42,-0.641199703374015
"MYR1","SARS",0.944854863565013,0.992,0.886,8.88896325814935e-45,1.1858602616025e-42,NA
"MYR1","ENOX1",-1.58753250625824,0.251,0.786,1.14332013176414e-44,1.51497642594773e-42,NA
"MYR1","SLFN11",-0.99662775657176,0.118,0.655,1.94295135155697e-44,2.55726301713984e-42,NA
"MYR1","CCL2",-1.3136052958558,0.915,0.991,2.11115772333772e-44,2.76012760749173e-42,NA
"MYR1","BCL2",-1.11737373244852,0.07,0.594,2.266303662879e-44,2.94334312137219e-42,-2.58496250072116
"MYR1","PTGES3",-0.728781232977078,1,0.996,3.71752030021828e-44,4.79633490839347e-42,NA
"MYR1","PNP",-0.917588330207168,0.076,0.598,5.01260692451639e-44,6.42498264030659e-42,NA
"MYR1","CEBPB",1.12399947791804,0.98,0.764,5.51505288772405e-44,7.02309754423093e-42,0.75231260184465
"MYR1","CEBPB",1.12399947791804,0.98,0.764,5.51505288772405e-44,7.02309754423093e-42,0.75231260184465
"MYR1","COL5A2",0.898382229684197,1,0.996,7.47327012292257e-44,9.43610865496674e-42,NA
"MYR1","HNRNPD",-0.981805678523115,0.89,0.987,7.50615955420331e-44,9.43610865496674e-42,-0.968491614568243
"MYR1","LMO7",1.31177258379579,0.91,0.537,9.90966118567956e-44,1.23782398415517e-41,NA
"MYR1","ATP1B3",-0.878439283449396,0.989,1,1.04651508582443e-43,1.29893717393056e-41,NA
"MYR1","ATP2B1",-1.14867691501563,0.806,0.961,1.08859340588134e-43,1.3426669989144e-41,NA
"MYR1","CDX1",-0.930603532778289,0.059,0.568,1.1189485434169e-43,1.3714812428093e-41,NA
"MYR1","SLC9A3R2",1.19403989393951,0.837,0.301,1.53332050698544e-43,1.86769866226655e-41,NA
"MYR1","NOP58",-0.97475258313863,0.575,0.943,1.66922342578787e-43,2.02068769155098e-41,NA
"MYR1","NCOA7",-1.13031038945442,0.828,0.978,1.81790021351781e-43,2.18716816486489e-41,NA
"MYR1","NFKB2",-1.01457503621186,0.161,0.707,1.95077098364785e-43,2.33271766831207e-41,NA
"MYR1","CLIC1",0.804222829051499,1,0.991,2.18056201619764e-43,2.59169707270617e-41,NA
"MYR1","TMEM123",-0.903799372318763,0.958,1,2.73510747234151e-43,3.23121642410176e-41,NA
"MYR1","PLGRKT",-1.18891460798441,0.873,0.974,4.27991200691717e-43,5.02594936333249e-41,NA
"MYR1","AGPAT5",-0.978087524616465,0.206,0.747,5.17758696053587e-43,6.04390820732553e-41,-1.91276716194519
"MYR1","TMPO",-1.17929879812949,0.369,0.856,5.52933529849113e-43,6.41631920347394e-41,-2.31330091753466
"MYR1","ULBP1",-0.940293753875732,0.037,0.52,9.60585609276487e-43,1.10812025785419e-40,-3.19005170129423
"MYR1","GSTM3",-0.866630342731505,0.997,1,1.06217585653531e-42,1.21814799546865e-40,NA
"MYR1","COPZ2",0.864679858291356,0.997,0.974,1.58181984416834e-42,1.80355052116194e-40,NA
"MYR1","MCM5",-0.815693250350871,0.07,0.581,2.34743506072825e-42,2.66101439167294e-40,-1.82904999315692
"MYR1","CXCL6",-1.803448338131,0.124,0.642,2.61646256035937e-42,2.94893375121883e-40,NA
"MYR1","PIM3",-1.22023256036893,0.29,0.799,3.15332916432165e-42,3.53371075665782e-40,-0.711166570288801
"MYR1","WDHD1",-0.80993010042282,0.073,0.576,3.71392717845397e-42,4.13828556231027e-40,NA
"MYR1","LINC00923",-0.983514071559586,0.017,0.476,4.38943028657e-42,4.86333996327255e-40,NA
"MYR1","PSME2",-0.900895909340965,0.946,0.996,4.46553814090657e-42,4.91986901580443e-40,NA
"MYR1","FUS",-1.03682664281802,0.741,0.961,4.90895077246629e-42,5.37818064797968e-40,-0.729328610315974
"MYR1","MSH6",-1.08562006731242,0.335,0.834,5.38869412249573e-42,5.86539165304062e-40,-2.87940985918641
"MYR1","ZEB1",-1.18851619551447,0.949,1,5.41347146601577e-42,5.86539165304062e-40,NA
