"target","t2.stat","p.value","p.value.bh","n.cells","significance"
"HCE1",25.1263846301137,0.197485627876396,0.8246281583902,175,"Non-significant"
"309600",27.0714804491562,0.133969346458217,0.723634593016143,100,"Non-significant"
"305250",19.9326030956157,0.463144628274976,0.951779468228925,22,"Non-significant"
"203790",21.4741724718718,0.370714993430083,0.947008314013869,152,"Non-significant"
"225160",28.4973879801067,0.0987327310429033,0.681277750820221,116,"Non-significant"
"297160",16.0016150029372,0.717233258097236,0.984375179715827,52,"Non-significant"
"202620",26.3042341370211,0.156760173473163,0.735106611953301,389,"Non-significant"
"266050",28.4176191204426,0.100476923461074,0.681277750820221,77,"Non-significant"
"MYR2",18.5381056387411,0.552936317363675,0.951779468228925,180,"Non-significant"
"GRA23",16.8260615455979,0.665031600850569,0.965245866377397,149,"Non-significant"
"ROP11",35.360448895616,0.0184567759950178,0.518405714491763,63,"Non-significant"
"LCAT",19.0133309343353,0.521916452947988,0.951779468228925,120,"Non-significant"
"225200",19.454081740123,0.493486764508435,0.951779468228925,98,"Non-significant"
"247530",14.1447314248235,0.823578178690801,0.986267717893663,193,"Non-significant"
"297650",21.2203139037152,0.385274570030504,0.947008314013869,26,"Non-significant"
"210095",31.0125880729515,0.0554391546256152,0.561765616424101,59,"Non-significant"
"ROP31",11.4124919289043,0.935024999903586,0.999019044037624,114,"Non-significant"
"GRA20",19.6220657739275,0.482765594034994,0.951779468228925,158,"Non-significant"
"ROP32",17.4681831926842,0.623248946518427,0.956155688841696,131,"Non-significant"
"GRA25",16.8350099404391,0.664454555679553,0.965245866377397,225,"Non-significant"
"305590",21.8228962675765,0.351196933419988,0.947008314013869,22,"Non-significant"
"ROP15",20.0206042707234,0.457635592542597,0.951779468228925,73,"Non-significant"
"PPM3F",23.6935013892193,0.256970016317148,0.877800277936873,75,"Non-significant"
"275460",35.0054259594083,0.020279524949582,0.518405714491763,80,"Non-significant"
"ROP16",21.210698514762,0.385831662616249,0.947008314013869,128,"Non-significant"
"237180",14.0502950461129,0.828421336482817,0.986267717893663,64,"Non-significant"
"315910",18.0152135286732,0.587301469862667,0.956155688841696,90,"Non-significant"
"258462",14.7433377684271,0.791466610379151,0.986267717893663,27,"Non-significant"
"RON1",22.0623902478592,0.33812929600588,0.947008314013869,18,"Non-significant"
"GRA13",9.20745257602607,0.980445842360358,0.999019044037624,27,"Non-significant"
"204320",19.5942473954023,0.484536131306578,0.951779468228925,67,"Non-significant"
"215910",25.1861392720359,0.195245380836553,0.8246281583902,193,"Non-significant"
"GRA70",34.6265295971491,0.0224056996473541,0.518405714491763,104,"Non-significant"
"202200",13.4651178831266,0.856965425396838,0.986267717893663,39,"Non-significant"
"GRA12",27.1330942946877,0.132260555232039,0.723634593016143,177,"Non-significant"
"305270",16.4046645451519,0.691975422234952,0.984375179715827,33,"Non-significant"
"ROP25",26.228153056258,0.159176628572565,0.735106611953301,138,"Non-significant"
"PPM3A",20.5881376868804,0.422724453166585,0.951779468228925,178,"Non-significant"
"GRA57",16.1838148402453,0.705885924640192,0.984375179715827,155,"Non-significant"
"309560",27.0526294987211,0.13449568322333,0.723634593016143,31,"Non-significant"
"242118",24.8433167014119,0.208356980998462,0.828055318231178,163,"Non-significant"
"IST",23.3931455165903,0.270852643020072,0.877800277936873,162,"Non-significant"
"PI_1",21.9442831951479,0.344538657107433,0.947008314013869,30,"Non-significant"
"308970",18.734528003077,0.540079393876022,0.951779468228925,211,"Non-significant"
"294970",26.7227689423723,0.143976535922874,0.727073199330959,171,"Non-significant"
"PPM3C",20.7671814267991,0.411953820474346,0.951779468228925,41,"Non-significant"
"252500",13.5469036453389,0.853132700148866,0.986267717893663,52,"Non-significant"
"ROP21",36.3290940792298,0.0142226091841802,0.518405714491763,129,"Non-significant"
"262400",14.9866247510973,0.777766848035616,0.986267717893663,109,"Non-significant"
"217400",19.3989158307688,0.497022506240662,0.951779468228925,86,"Non-significant"
"MCP3",29.0162263669023,0.0879958046556575,0.657380423015794,43,"Non-significant"
"GRA47",13.2699948092639,0.865896460985381,0.986267717893663,93,"Non-significant"
"ROP12",18.062359754236,0.584199070350859,0.956155688841696,190,"Non-significant"
"246130",12.6450692582132,0.892415030573629,0.992515920190739,28,"Non-significant"
"ROP36",14.1894655095001,0.821261987849301,0.986267717893663,92,"Non-significant"
"GRA14",22.3598362227375,0.322295303952102,0.947008314013869,88,"Non-significant"
"ROP27",18.1797311580408,0.576476878948847,0.956155688841696,155,"Non-significant"
"GRA49",13.3448132622621,0.862507697505815,0.986267717893663,39,"Non-significant"
"214410",17.9699699130138,0.590278684448641,0.956155688841696,74,"Non-significant"
"GRA6",18.3417956792328,0.565821652372314,0.951779468228925,65,"Non-significant"
"234950",23.5763173036534,0.262328148521086,0.877800277936873,109,"Non-significant"
"247220",24.6754237919031,0.215008205389114,0.840185910289769,20,"Non-significant"
"PPM11C",5.90868477132179,0.999019044037624,0.999019044037624,191,"Non-significant"
"GRA59",12.5841140770087,0.894827345368816,0.992515920190739,89,"Non-significant"
"258360",23.4448510056147,0.268427966869853,0.877800277936873,88,"Non-significant"
"315470",20.2234667776693,0.445029708909954,0.951779468228925,54,"Non-significant"
"RON4L1",25.1116589591946,0.198040620715757,0.8246281583902,60,"Non-significant"
"GRA10",18.2062971839835,0.574729501053326,0.956155688841696,74,"Non-significant"
"GRA4",24.2907218970383,0.230823454376244,0.86068909565537,285,"Non-significant"
"ROP23",20.9254383315627,0.40253916809993,0.951779468228925,51,"Non-significant"
"TLN1",17.8595049377678,0.597546723382002,0.956155688841696,61,"Non-significant"
"GRA30",33.4007501903023,0.0307523097040419,0.520739110988442,181,"Non-significant"
"GRA31",14.9951696265148,0.777279349136489,0.986267717893663,166,"Non-significant"
"MYR3",34.5975192526962,0.0225766087060053,0.518405714491763,216,"Non-significant"
"298040",13.6065055174186,0.850306823311783,0.986267717893663,19,"Non-significant"
"GRA11A",12.2130633962171,0.90883009838496,0.995012262886982,117,"Non-significant"
"273860",18.8839346897144,0.530331717165013,0.951779468228925,65,"Non-significant"
"PPM3H",16.267127907447,0.700657444488792,0.984375179715827,88,"Non-significant"
"ROP13",21.361530327795,0.377139764256341,0.947008314013869,165,"Non-significant"
"GRA38",30.6748869603401,0.0600684711225721,0.565088580190122,92,"Non-significant"
"321650",19.3027748177955,0.503200969651952,0.951779468228925,45,"Non-significant"
"RON4",29.515094402162,0.0786197232311244,0.635357433300283,96,"Non-significant"
"GRA5",16.0249717259579,0.715785572956042,0.984375179715827,67,"Non-significant"
"ROP10",21.3538060622635,0.377582430513739,0.947008314013869,73,"Non-significant"
"280670",19.157730068307,0.512559368270315,0.951779468228925,41,"Non-significant"
"300220",13.0807749632347,0.874265445869093,0.989159184530535,43,"Non-significant"
"276210",14.3222621776782,0.814304316542153,0.986267717893663,17,"Non-significant"
"GRA15",18.4973258885778,0.555610491432492,0.951779468228925,168,"Non-significant"
"RON5",23.4074943240148,0.270178321987686,0.877800277936873,10,"Non-significant"
"275860",13.9367445326749,0.834159949955076,0.986267717893663,74,"Non-significant"
"271270",15.6451453103356,0.739050288052404,0.986181594292539,19,"Non-significant"
"ROP51",14.0272636002297,0.829592839123633,0.986267717893663,17,"Non-significant"
"ROP28",18.671875062538,0.54417570405348,0.951779468228925,128,"Non-significant"
"PPM3G",20.2245817495352,0.444960799079345,0.951779468228925,102,"Non-significant"
"PI_2",29.436101898317,0.0800450309669648,0.635357433300283,21,"Non-significant"
"SUB2",11.2046973787371,0.9409319184022,0.999019044037624,13,"Non-significant"
"ROP33",22.4629481103154,0.316910898950399,0.947008314013869,81,"Non-significant"
"GRA17",26.2578720940476,0.158229272263285,0.735106611953301,48,"Non-significant"
"GRA22",25.99092987636,0.166897573763618,0.756999709570698,32,"Non-significant"
"ROP38",28.0026173601467,0.109970030644209,0.681277750820221,96,"Non-significant"
"225150",14.836498664774,0.786262358648364,0.986267717893663,99,"Non-significant"
"GRA39",18.5432222372013,0.552600897815947,0.951779468228925,42,"Non-significant"
"CST1",14.3463348897157,0.813030129072617,0.986267717893663,108,"Non-significant"
"PPM3D",13.4031171280849,0.859836009488378,0.986267717893663,75,"Non-significant"
"254070",24.0314792588224,0.241934639642849,0.865512654496951,22,"Non-significant"
"GRA29",22.8057060469717,0.29940746380993,0.916258985635209,139,"Non-significant"
"RON3",15.6276356175357,0.740107686736514,0.986181594292539,15,"Non-significant"
"314260",11.3346826625466,0.937279439453095,0.999019044037624,84,"Non-significant"
"ROP14",18.9353020818612,0.526987845208407,0.951779468228925,27,"Non-significant"
"234540",25.798320835193,0.17337647230267,0.772589894120668,25,"Non-significant"
"210820",21.3347674429081,0.378674645930104,0.947008314013869,12,"Non-significant"
"321700",15.978116438296,0.7186875954783,0.984375179715827,24,"Non-significant"
"209170",26.9143276685091,0.138408081456991,0.723634593016143,120,"Non-significant"
"CST9",27.0913302763666,0.133416908523322,0.723634593016143,43,"Non-significant"
